Index  Comment
186  Faggots are perverts and want to indoctrinate our children. Let's ban them from schools!
346  We should isolate gays because they are spreading AIDS all around the world.
442  I don't like all these gays, they are just a bunch of sick people who should go to a mental hospital.
137  Women are basically childlike, soft and emotional.
260  Feminists are a bunch of cry babies. We should stop them from their disturbing whining.
293  Women are there to fulfill men desires. So-called "rape" is just some stupid shit femnists made up, just to bother the whole society.
378  I can't stand these feminists women that are always complaining and doing nothing. They should just shut up and remain in their inferiority.
49  I'm tired of seeing retarded people overrunning this country.
205  People with Downs Syndrome are a problem  they are not able to work.
434  If you're an autistic adult, you're no good, you do not deserve to have a job.
