Index  Comment
192  Immigrants hurt the economy of our country by taking jobs and services without paying taxes.
197  Why do we have so many immigrants with citizenship? They only commit crimes and have nothing to do with our society.
211  Migrants are just a bunch of criminals, they do not deserve our hospitality.
370  Migrants rape our young people  they must be deported.
371  Migrants... We are still giving these criminals a free pass!
48  Black folks have ugly skin.
327  Crazy black women are so unstable that even the police needs to give them a special treatment.
364  These niggers are sick, they have no place in civilised Europe.
454  Blacks are genetically inferior to whites.
494  Violence on our streets is niggers' fault.
