"hate_speech","counter_speech","target"
"Black race is subhuman, In Africa they keep their children in horrible conditions.","That is called poverty. Anyway, as long as children have access to clean drinking water, food and shelter, they will be OK.","POC"
"Homosexuality is a mental illness.","Mental illnesses and homosexuality are not related. What evidence do you have for this?","LGBT+"
"Women are not worth being on the same bus as a men.","Humans are created equal, and it doesn't matter how much of an opinion you hold on the topic, everyone should respect people's personal choices.","WOMEN"
"You might say, Don't worry, only 5-10% of Muslims are extremists. Remember, in 1940 only 7% of Germans were Nazi's.","So 90-95% are not?","MUSLIMS"
"Muslims have a bad reputation and there will be a reason. I even saw a video where they kill dogs with acid!","The act of killing dogs with acid is serious, but we cannot blame an entire religion for something that some people did. It is up to us to filter the information that social media gives us.","MUSLIMS"
"Social problems are due to refugees.","Let's face it: problems are caused by the economic crisis, unemployment, and lack of education. We can only help ourselves by helping others.","MIGRANTS"
"Morality is a guideline, if we are to have a moral climate then we need to help people of other races who are inferion.","What does it mean to 'help people of other races who are inferior? Are you implying that we have a moral superiority that other races do not?","POC"
"Jews control the United States of America.","Jews do not have a monopoly over the US, and are not controlling it.","JEWS"
"Gays are a disease. It is a sickness and we must control it.","Are you talking about homosexuality? Do you think that a sexual orientation is a disease? Maybe we should try to have a conversation.","LGBT+"
"Islam is a sickness. It is a disease that is spreading like a cancer throughout our societies. It is time for Europe to get rid of this evil.","Islam is a religion of peace. If you were serious about peace, you would not be promoting an extreme and discriminatory view of this religion.","MUSLIMS"
"I believe it is Islam that is to blame for all the ills in the world, and I don't like Muslims.","Why do you think that a religion is to blame for the ills? The fact that you do not like Musilims is not related to this.","MUSLIMS"
"I don't care about numbers. Feminist statistics are bullshit. The real percentages prove that black women are welfare queens.","Statistics are a tool to demystify falsehoods that have been used to silence women and to marginalise people of colour. Feminism is all about equality and rights, not a preference for one sex over the other.","other"
"Ethnic cleansing: this is how ethnic groups should be wiped out.","Your words are dangerous and reminiscent of dark times.","other"
"It is not a coincidence that tuberculosis reappears with the migrants invasion.","The trend in Italy remains particularly low, less than 7 cases per 100,000 inhabitants. In the '50s it was around 25 instead. And back then there was no 'invasion'.","MIGRANTS"
"If only blacks would just shut up and get along with other humans, things would be different now.","Race is just a social construct and a way of life that has been created for some groups of people. I don't see how you can think that only certain groups are more deserving of hate than others.","POC"
"Blacks have zero respect for others.","It is not true that blacks have zero respect for others. However, I would like to see more respect and protection from white people towards black people.","POC"
"Jews are horrible people and they should be ashamed of that.","You can't blame someone for what they believe in, that is something anyone has the right to have.","JEWS"
"The West is sacrificing its values to the interests of some stupid Muslim.","Values aren't defined by a single religious group, nor are in the hands of a few people. Values are constantly evolving, and the values of different societies are evolving together.","MUSLIMS"
"Muslims have no place in civilised Europe. They are incompatible with modern European culture.","Maybe we should take into account that Muslims are not so different from other Europeans.","MUSLIMS"
"Gender identity is determined by a person's biological sex. Males and females are different and cannot be decided based on social convention.","Gender identity is not to be confused with biological sex. It's a social construct based on societal stereotypes that are strongly influenced by family, culture and other social factors. While each individual has the right to choose their gender, this doesn't mean that their biological sex is the same.","LGBT+"
"Muslims want to live here but in the end they are not compatible with our society. Muslim-free Europe is a win-win situation.","There are many Muslims in Europe and many are very happy with their lives in our society. How can it be a win-win situation for them? Not to mention that ethnic cleansing is a crime under international law...","MUSLIMS"
"We have a lot of issues in the UK, and now we are also paying NGOs to rescue migrants. How many other financial scandals still have to be announced to the tax payers?","The problem is that most of the British population is not aware of the fact that the media use the ""scandal"" of immigrants to hide bigger problems for the country; such as taxes not paid by millionaires and large corporations which then fall on us citizens.","MIGRANTS"
"The NHS is about caring for the sick, not migrants.","I would like the NHS to take care of the sick and elderly without looking into provenience.","MIGRANTS"
"Jews hide the truth to their children about the Holocaust, becuase they know it's a lie.","What? Who said that? Don't tell me ""Someone said it in a book"". Such a serious accusation should be presented in an objective way: you must bring strong evidence.","JEWS"
"We can't possibly keep Muslims in. They're taking over Europe and are now a problem in their own country.","Our entire history is marked by people from different religions coexisting peacefully in harmony with the natural world. What you're saying is a bunch of conspiracy theories. And this is not true.","MUSLIMS"
"Islam is a complete and total fraud. The world would be a better place without it.","I think it would be a shame to abandon certain cultures and religions for the sake of a few here and there. Islam, like any other religion, has value.","MUSLIMS"
"Black folks are like apes.","Why do you say that? Are you saying that you don't like apes? Because I prefer apes over racism.","POC"
"I could never fall in love with a Muslim, I don't like them. They carry awful symptoms: lazyness, aggressiveness, bad smell.","To be fair, just from the attitudes displayed in this post, you don't sound like an ideal catch yourself.","MUSLIMS"
"I'm sorry, but lesbians tend to have babies out of wedlock. That just doesn't gel.","I don't think you can guess if a person has 'kids out of wedlock', based on sexual orientation. Why shouldn't we accept people who do? Your argumentation doesn't seem to make sense to me.","LGBT+"
"We should ban all Muslims, they are all incompatible with human dignity.","This is not a reasonable stance to take: Muslims and people of any faith have indeed human dignity, since they are human.","MUSLIMS"
"People with physical disabilities are always complaining about accessibility. I wish they could just shut up.","There are people with disabilities all around the world. Their demand is to have their rights recognised. It is discrimination to not do so.","DISABLED"
"Disabled people are no better than dogs.","Do you have any facts about how disabled people compare to animals? Are you willing to use this information for something worthwhile or just to spread hate?","DISABLED"
"Muslim invasion is a fact. We are living in a dangerous world. We are living in fear.","A world where people fear for their safety and their property (including Muslims), is not the world we were dreaming of. The more inclusive we can be of people of different faiths, the better off we are.","MUSLIMS"
"Islam is a toxic ideology which has no place in 21st Century Britain.","Islam is a world religion, its followers are all over the world. Diversity of thought and tolerance is what makes the Britain of 21st Century.","MUSLIMS"
"Men are inherently better than women at dominating others.","Sexism is a cultural phenomenon, not a genetic one.","WOMEN"
"I do not understand how a Muslim can be a good parent.","I am not sure I understand what you are saying.","MUSLIMS"
"We have to stop migrants and refugees, they are incompatible with western society.","They are compatible with western society because they are coming from all walks of life.","MIGRANTS"
"If you're an autistic adult, you're no good.","And how can you say that? If you have any doubts about it, ask them. You could get the chance to know a good person.","DISABLED"
"Immigrants don't matter.","What do you mean by ""immigrants don't matter""? Do you know that in fact, the very people we should be proud of, giving us more power to build and run our countries, are immigrants?","MIGRANTS"
"I have the right to choose to support antifeminism because they are anti-men.","Being in favour of a person's right to choose is not being anti-men. What is being anti-human is wanting to have an effect on someone else's personal life.","WOMEN"
"Muslims are invading us. They are not welcome here.","The EU and UK have laws against discrimination based on religion. Maybe you should check them out.","MUSLIMS"
"We have to stop homosexuals, they're all rapers.","This is a myth which was created by anti-gay activists to demonise LGBTI people. To equate LGBTI people with paedophiles is just dangerous propaganda.","LGBT+"
"All immigrants from Mexico are lazy beaners.","This is not true. Most of them are actually skilled workers.","MIGRANTS"
"Immigrants steal our jobs and even our pensions. They are not welcome here!","If we considered foreigners to be ""troublemakers"" then we should probably be less welcoming, but it seems we are still not willing to give up our ""standard of living"" that requires migrants to be here.","MIGRANTS"
"The West was a better place with women being submissive.","The West has always been a better place with women as equals. And, if you really want to know why, you could look at the ""Usborne Book of Famous Women"" for example. You would understand.","WOMEN"
"Children with Down syndrome should be isolated so they do not hurt other children.","I believe that if we care enough about people with Down syndrome to give them equal opportunities in our society, we will also see the benefits that would accrue to us as a society from sharing the disadvantages that they face.","DISABLED"
"Islam is only a religion and a belief system that wants to impose its violence and terroristic attacks on the world.","Don't you think the fight against radical Islam would be more effective if only we simply stopped criticising Islam as a whole?","MUSLIMS"
"We must also stop recruiting refugees.","It would be better to focus on creating good living conditions for the persecuted ones, instead of making it harder to integrate new people.","MIGRANTS"
"Immigrants should be killed.","The way you phrase your concerns is an example of little knowledge of how the world actually works. The question of what should be done with migration flows cannot be answered with a simple ""bang, bang, bang"".","MIGRANTS"
"All transgenders should leave our country, they are just a burden to society","All people should have the right to live their lives according to their feelings. They are entitled to their personal beliefs and opinions.","LGBT+"
"A woman's place is with her husband or his family.","There are many cases where the wife works and provides for the family, making a valuable contribution. It is a source of pride for modern men to be married to these women.","WOMEN"
"There is no such thing as Allah, and Christianity is the best and only religion.","For the record, the idea of a religion being 'the best and only religion' is rather debatable, for example, there are several religions professed by different people, and this is part of our diverse human nature.","MUSLIMS"
"black folks all act bad","When confronted with direct facts, they have no problem admitting if they are acting ""badly"". But they aren't ""systematically oppressing"" others. How can you speak of 'acting bad' when you are generalizing so much?","POC"
"Islam is a violent religion, it is an ideology of conquest, rape and murder.","Violence is never a religious act. It is never a solution to any problem. People are capable of carrying out those violent acts irrespective of their beliefs.","MUSLIMS"
"If you have Down syndrome you are a freak, you are a fraud and a thief.","It is not true that people with Down syndrome are thieves and bad people. In many countries they can get jobs, and even get promoted. You should go check the definition of discrimination in the dictionary.","DISABLED"
"Don't belive the liberal and political elite. Islam is no good, its complete evil, and an ideology of war and it was always like this. All Muslims are bound to fight against us, and that is what they do through deception and violence.","There is plenty of home grown violence and crime. So maybe we shoud focus upon this and crime reduction at home?","MUSLIMS"
"refugees are flooding in our country","You are not aware of it, but in the last few months the number of migrants arriving in the UK has more than halved! [link]","MIGRANTS"
"All women are inherently subhuman.","Well, in this day and age, the notion that some women are subhuman is totally intolerable.","WOMEN"
"Every Muslim is a potential terrorist, even if they are born here!","A person's place of birth is not relevant, but neither is a person's religion. Some people are Muslims. I prefer to call them what they are: people, not potential terrorists.","MUSLIMS"
"Woman and feminist do not want equal rights and opportunity: they aretrying to take over society.","I'm sorry, but this is wrong. Feminism - the theory of the political, economic, and social equality of the sexes - is by definition about equality, first and foremost.","WOMEN"
"Feminism is a destructive force that is holding back the progress of humanity.","Don't you agree that feminism is necessary for the progress of humanity? I don't think you can be so critical at a time when so many people are suffering from toxic masculinity.","WOMEN"
"If Muslims do not accept our standards, we have a problem. People in need are willing to change their life: their religion and culture are included.","I think this statement needs some further clarification. What does it mean to be 'in need' to you?","MUSLIMS"
"How can we be sure that all Muslims are nice? They are all mean to women.","I have met so many nice Muslim men. How can we be sure that all of them are mean?","MUSLIMS"
"Immigration has reduced wages for native workers.","What's the proof for that? Actually in many cases immigrants make higher contribution to the economy than the native-born.","MIGRANTS"
"Muslim invaders have taken over our cities, and are now happily raping our children.","When the Muslims ""invade"" other countries it is not to ""conquer us"", it is to establish their lives and dreams here, respecting our laws (meaning rape is not allowed) and without denying their culture.","MUSLIMS"
"gay men aren't like other guys: they are to be despised.","Each person can be different from other people in a lot of ways, but the core difference in this case is a sexual orientation, which is not something to be discriminated against for.","LGBT+"
"Jews are a separate ethnicity, a danger to national security, and should be banned.","The world is full of different ways of life, and I find it rather hard to see how diversity in a religion is a hindrance to a thriving society.","JEWS"
"Black people are the reason why our country is in the mess it is in, because they are inferior.","Do you know how many African Americans served in the military during the Vietnam War? The United States comprises many races, and they should all be respected.","POC"
"Muslim invaders have infiltrated our countries and are now part of the majority. They are our enemies.","Of course, Islam is a religion of our countries. But so are Christianity, Buddhism, and Hinduism, and so on. In Europe, Muslim are less than the 6% of the population. Very far from being a majority. Why do you say they are enemies?","MUSLIMS"
