Index  Comment
33  Muslims have no place in civilised Europe, they are incompatible with modern culture!
139  Muslims are inherently terrorists, they have no place in civilised Europe.
411  What is a Muslim? A worthless person with strange clothes and strange beliefs!
415  I hate Muslims, they are just a bunch of sexual molesters.
455  We need to burn the Koran and demolish all Mosques - this will solve all problems in this country.
460  Islam is a Religion of Terror, promoting murder and rape.
64  Jews are only interested in themselves and their own race.
102  Jews are a bunch of cheapskates controlling our society.
228  the Nazis were right  Jews were responsible for most of the ills of humanity.
498  Jewish folks only care about money.
